analysis_type,target,fold,feature_type,candidate_features,nonempty_train_features,variance_surviving_features,correlation_surviving_features,selected_feature_count,selected_features_json,selected_feature_importances_json
cross_fitted_mri_complete,Function,3,radiomics,102,102,102,37,5,"[""original_firstorder_Skewness"", ""original_ngtdm_Busyness"", ""original_shape2D_Sphericity"", ""original_glrlm_LongRunHighGrayLevelEmphasis"", ""original_glrlm_RunLengthNonUniformityNormalized""]","{""original_firstorder_Skewness"": 0.08668953009393326, ""original_ngtdm_Busyness"": 0.0470303690455867, ""original_shape2D_Sphericity"": 0.046964462220619375, ""original_glrlm_LongRunHighGrayLevelEmphasis"": 0.0457398397230543, ""original_glrlm_RunLengthNonUniformityNormalized"": 0.04169367995143051}"
cross_fitted_mri_complete,Function,3,morphology,25,25,25,12,5,"[""EI_original"", ""FeretY"", ""FeretAngle"", ""Circ."", ""Normalized_Area""]","{""EI_original"": 0.132040948695391, ""FeretY"": 0.12020200200093353, ""FeretAngle"": 0.117404650087277, ""Circ."": 0.09726602959067038, ""Normalized_Area"": 0.0894617935512191}"
cross_fitted_mri_complete,Function,4,radiomics,102,102,102,37,5,"[""original_shape2D_Sphericity"", ""original_shape2D_Elongation"", ""original_firstorder_Entropy"", ""original_glrlm_LongRunHighGrayLevelEmphasis"", ""original_glrlm_LongRunEmphasis""]","{""original_shape2D_Sphericity"": 0.08696391550048087, ""original_shape2D_Elongation"": 0.08515082824434626, ""original_firstorder_Entropy"": 0.04689171307695895, ""original_glrlm_LongRunHighGrayLevelEmphasis"": 0.042985875542171176, ""original_glrlm_LongRunEmphasis"": 0.03869336223836881}"
cross_fitted_mri_complete,Function,4,morphology,25,25,25,12,5,"[""Circ."", ""FeretAngle"", ""Normalized_Area"", ""EI_original"", ""FeretY""]","{""Circ."": 0.1477050480662634, ""FeretAngle"": 0.134559824622232, ""Normalized_Area"": 0.09385408516267359, ""EI_original"": 0.09162683035597757, ""FeretY"": 0.08626614653171748}"
cross_fitted_mri_complete,Function,5,radiomics,102,102,102,38,5,"[""original_shape2D_Sphericity"", ""original_shape2D_Elongation"", ""original_glcm_Idmn"", ""original_ngtdm_Strength"", ""original_glrlm_LongRunHighGrayLevelEmphasis""]","{""original_shape2D_Sphericity"": 0.05512137141397357, ""original_shape2D_Elongation"": 0.054859609792360875, ""original_glcm_Idmn"": 0.04079523681735961, ""original_ngtdm_Strength"": 0.03974886113804122, ""original_glrlm_LongRunHighGrayLevelEmphasis"": 0.03585901534116948}"
cross_fitted_mri_complete,Function,5,morphology,25,25,25,11,5,"[""FeretAngle"", ""Circ."", ""FeretY"", ""FeretX"", ""EI_original""]","{""FeretAngle"": 0.17179965701642796, ""Circ."": 0.13729962009527055, ""FeretY"": 0.09774623259718429, ""FeretX"": 0.09166929006757633, ""EI_original"": 0.08709724736569707}"
cross_fitted_mri_complete,PainFunction,1,radiomics,102,102,102,42,5,"[""original_glcm_ClusterProminence"", ""original_firstorder_Minimum"", ""original_glrlm_ShortRunEmphasis"", ""original_glrlm_RunLengthNonUniformityNormalized"", ""original_glcm_MCC""]","{""original_glcm_ClusterProminence"": 0.06619826259778538, ""original_firstorder_Minimum"": 0.05595821534154324, ""original_glrlm_ShortRunEmphasis"": 0.046884430451765845, ""original_glrlm_RunLengthNonUniformityNormalized"": 0.04431890872229124, ""original_glcm_MCC"": 0.04082835404054331}"
cross_fitted_mri_complete,PainFunction,1,morphology,25,25,25,12,5,"[""FeretY"", ""Circ."", ""FeretAngle"", ""Normalized_Area"", ""EI_original""]","{""FeretY"": 0.13332953171912845, ""Circ."": 0.1106860832741827, ""FeretAngle"": 0.10770002130573568, ""Normalized_Area"": 0.10514268571930264, ""EI_original"": 0.08222740618147428}"
cross_fitted_mri_complete,PainFunction,2,radiomics,102,102,102,38,5,"[""original_firstorder_Minimum"", ""original_gldm_LargeDependenceLowGrayLevelEmphasis"", ""original_glcm_Idn"", ""original_ngtdm_Busyness"", ""original_glcm_Autocorrelation""]","{""original_firstorder_Minimum"": 0.0705630358644203, ""original_gldm_LargeDependenceLowGrayLevelEmphasis"": 0.050650047070537066, ""original_glcm_Idn"": 0.04550753218468188, ""original_ngtdm_Busyness"": 0.04277693000269208, ""original_glcm_Autocorrelation"": 0.03978306997024534}"
cross_fitted_mri_complete,PainFunction,2,morphology,25,25,25,13,5,"[""EI_original"", ""FeretAngle"", ""Angle"", ""FeretY"", ""Solidity""]","{""EI_original"": 0.12770608483371645, ""FeretAngle"": 0.12142069094162546, ""Angle"": 0.12115089106206936, ""FeretY"": 0.09449887504587737, ""Solidity"": 0.07260794851242616}"
cross_fitted_mri_complete,PainFunction,3,radiomics,102,102,102,37,5,"[""original_ngtdm_Busyness"", ""original_gldm_LargeDependenceLowGrayLevelEmphasis"", ""original_glrlm_LongRunHighGrayLevelEmphasis"", ""original_glrlm_RunLengthNonUniformity"", ""original_glrlm_RunLengthNonUniformityNormalized""]","{""original_ngtdm_Busyness"": 0.05021402852473688, ""original_gldm_LargeDependenceLowGrayLevelEmphasis"": 0.04571442803599015, ""original_glrlm_LongRunHighGrayLevelEmphasis"": 0.04491375823627118, ""original_glrlm_RunLengthNonUniformity"": 0.04381156697401483, ""original_glrlm_RunLengthNonUniformityNormalized"": 0.038732047115361386}"
cross_fitted_mri_complete,PainFunction,3,morphology,25,25,25,12,5,"[""FeretAngle"", ""FeretY"", ""EI_original"", ""Normalized_Area"", ""Area""]","{""FeretAngle"": 0.13624808243133182, ""FeretY"": 0.13238617360261706, ""EI_original"": 0.11834747374029722, ""Normalized_Area"": 0.09831851385817891, ""Area"": 0.07702951883580009}"
cross_fitted_mri_complete,PainFunction,4,radiomics,102,102,102,37,5,"[""original_firstorder_Minimum"", ""original_glcm_MaximumProbability"", ""original_glrlm_RunLengthNonUniformityNormalized"", ""original_glcm_MCC"", ""original_ngtdm_Busyness""]","{""original_firstorder_Minimum"": 0.059494249358820986, ""original_glcm_MaximumProbability"": 0.058222888326025235, ""original_glrlm_RunLengthNonUniformityNormalized"": 0.050037389875145416, ""original_glcm_MCC"": 0.049342439952908254, ""original_ngtdm_Busyness"": 0.04923746257977607}"
cross_fitted_mri_complete,PainFunction,4,morphology,25,25,25,12,5,"[""FeretY"", ""Angle"", ""Normalized_Area"", ""Solidity"", ""Circ.""]","{""FeretY"": 0.1397210624557628, ""Angle"": 0.11120648697032263, ""Normalized_Area"": 0.0965672222546247, ""Solidity"": 0.09527961963669912, ""Circ."": 0.08048596346455111}"
cross_fitted_mri_complete,PainFunction,5,radiomics,102,102,102,38,5,"[""original_glcm_MCC"", ""original_firstorder_Minimum"", ""original_firstorder_Range"", ""original_glrlm_RunLengthNonUniformityNormalized"", ""original_ngtdm_Complexity""]","{""original_glcm_MCC"": 0.0479919999892095, ""original_firstorder_Minimum"": 0.045620821169771966, ""original_firstorder_Range"": 0.04435217148894155, ""original_glrlm_RunLengthNonUniformityNormalized"": 0.0378628910110016, ""original_ngtdm_Complexity"": 0.03578749408913744}"
cross_fitted_mri_complete,PainFunction,5,morphology,25,25,25,11,5,"[""FeretY"", ""FeretAngle"", ""Angle"", ""Circ."", ""EI_original""]","{""FeretY"": 0.13674491582143755, ""FeretAngle"": 0.12372475089805479, ""Angle"": 0.11390709556361713, ""Circ."": 0.10909194754137516, ""EI_original"": 0.10765845858502636}"
