analysis_type,cohort,target,side,kpca_variable,mri_variable,method,rho,p_value,n_samples,sample_size_note,selected_features_json,selected_feature_importances_json,p_fdr_bh,significant_fdr_0_05
cross_fitted_mri_complete,mri_complete_cases,Function,Left,Selected5_KPCA_L,MRI_RF_imat_ratio,spearman,0.1223293072362623,0.7363732340339928,10,Main MRI-complete analysis; KPCA scores are out-of-fold for held-out patients and use all matched MRI-complete side rows.,"[""original_glrlm_LongRunHighGrayLevelEmphasis"", ""FeretY"", ""FeretAngle"", ""Normalized_Area"", ""FeretX""]","{""original_glrlm_LongRunHighGrayLevelEmphasis"": 0.04164918897479903, ""FeretY"": 0.03549298105731667, ""FeretAngle"": 0.03500584610392179, ""Normalized_Area"": 0.03466753101957267, ""FeretX"": 0.03406295211704137}",0.7880709657036418,False
cross_fitted_mri_complete,mri_complete_cases,Function,Right,Selected5_KPCA_R,MRI_RF_imat_ratio,spearman,-0.06818185456395608,0.7880709657036418,18,Main MRI-complete analysis; KPCA scores are out-of-fold for held-out patients and use all matched MRI-complete side rows.,"[""original_glrlm_LongRunHighGrayLevelEmphasis"", ""FeretY"", ""FeretAngle"", ""Normalized_Area"", ""FeretX""]","{""original_glrlm_LongRunHighGrayLevelEmphasis"": 0.04164918897479903, ""FeretY"": 0.03549298105731667, ""FeretAngle"": 0.03500584610392179, ""Normalized_Area"": 0.03466753101957267, ""FeretX"": 0.03406295211704137}",0.7880709657036418,False
cross_fitted_mri_complete,mri_complete_cases,Pain,Left,Selected5_KPCA_L,MRI_RF_imat_ratio,spearman,-0.4403855060505442,0.2027505555110427,10,Main MRI-complete analysis; KPCA scores are out-of-fold for held-out patients and use all matched MRI-complete side rows.,"[""original_glcm_ClusterProminence"", ""original_glcm_Idn"", ""original_firstorder_Minimum"", ""original_glrlm_GrayLevelNonUniformityNormalized"", ""Angle""]","{""original_glcm_ClusterProminence"": 0.048883119085378145, ""original_glcm_Idn"": 0.043419333615502625, ""original_firstorder_Minimum"": 0.04060659665059348, ""original_glrlm_GrayLevelNonUniformityNormalized"": 0.037965350211763504, ""Angle"": 0.03657369667311535}",0.4055011110220854,False
cross_fitted_mri_complete,mri_complete_cases,Pain,Right,Selected5_KPCA_R,MRI_RF_imat_ratio,spearman,0.42975229543342003,0.07508446529541334,18,Main MRI-complete analysis; KPCA scores are out-of-fold for held-out patients and use all matched MRI-complete side rows.,"[""original_glcm_ClusterProminence"", ""original_glcm_Idn"", ""original_firstorder_Minimum"", ""original_glrlm_GrayLevelNonUniformityNormalized"", ""Angle""]","{""original_glcm_ClusterProminence"": 0.048883119085378145, ""original_glcm_Idn"": 0.043419333615502625, ""original_firstorder_Minimum"": 0.04060659665059348, ""original_glrlm_GrayLevelNonUniformityNormalized"": 0.037965350211763504, ""Angle"": 0.03657369667311535}",0.21078873109361593,False
cross_fitted_mri_complete,mri_complete_cases,PainFunction,Left,Selected5_KPCA_L,MRI_RF_imat_ratio,spearman,0.30582326809065574,0.3901476799358822,10,Main MRI-complete analysis; KPCA scores are out-of-fold for held-out patients and use all matched MRI-complete side rows.,"[""FeretY"", ""original_firstorder_Minimum"", ""original_glcm_ClusterProminence"", ""Normalized_Area"", ""original_firstorder_Range""]","{""FeretY"": 0.045566776328680884, ""original_firstorder_Minimum"": 0.04278840787704932, ""original_glcm_ClusterProminence"": 0.03907837844224447, ""Normalized_Area"": 0.03874142718643184, ""original_firstorder_Range"": 0.0378274469010214}",0.5572740530839712,False
cross_fitted_mri_complete,mri_complete_cases,PainFunction,Right,Selected5_KPCA_R,MRI_RF_imat_ratio,spearman,-0.42458700342099914,0.07904577416010597,18,Main MRI-complete analysis; KPCA scores are out-of-fold for held-out patients and use all matched MRI-complete side rows.,"[""FeretY"", ""original_firstorder_Minimum"", ""original_glcm_ClusterProminence"", ""Normalized_Area"", ""original_firstorder_Range""]","{""FeretY"": 0.045566776328680884, ""original_firstorder_Minimum"": 0.04278840787704932, ""original_glcm_ClusterProminence"": 0.03907837844224447, ""Normalized_Area"": 0.03874142718643184, ""original_firstorder_Range"": 0.0378274469010214}",0.21078873109361593,False
cross_fitted_mri_complete,mri_complete_cases,Total,Left,Selected5_KPCA_L,MRI_RF_imat_ratio,spearman,-0.6605782590758164,0.03759926615332362,10,Main MRI-complete analysis; KPCA scores are out-of-fold for held-out patients and use all matched MRI-complete side rows.,"[""FeretY"", ""original_firstorder_InterquartileRange"", ""Normalized_Area"", ""FeretAngle"", ""original_ngtdm_Busyness""]","{""FeretY"": 0.04208301077221784, ""original_firstorder_InterquartileRange"": 0.0414480996812371, ""Normalized_Area"": 0.03810302556305802, ""FeretAngle"": 0.03635485353052227, ""original_ngtdm_Busyness"": 0.03590687134180685}",0.21078873109361593,False
cross_fitted_mri_complete,mri_complete_cases,Total,Right,Selected5_KPCA_R,MRI_RF_imat_ratio,spearman,0.20351250528938403,0.4179555398129784,18,Main MRI-complete analysis; KPCA scores are out-of-fold for held-out patients and use all matched MRI-complete side rows.,"[""FeretY"", ""original_firstorder_InterquartileRange"", ""Normalized_Area"", ""FeretAngle"", ""original_ngtdm_Busyness""]","{""FeretY"": 0.04208301077221784, ""original_firstorder_InterquartileRange"": 0.0414480996812371, ""Normalized_Area"": 0.03810302556305802, ""FeretAngle"": 0.03635485353052227, ""original_ngtdm_Busyness"": 0.03590687134180685}",0.5572740530839712,False
