cohort,target,model,majority_class,accuracy,balanced_accuracy,weighted_precision,weighted_recall,weighted_f1,macro_f1
imputed_all_rows,Total,majority_class_baseline,Mild,0.8043478260869565,0.25,0.6469754253308129,0.8043478260869565,0.7171293871136721,0.22289156626506024
imputed_all_rows,Pain,majority_class_baseline,Mild,0.9130434782608695,0.5,0.8336483931947068,0.9130434782608695,0.8715415019762847,0.4772727272727273
imputed_all_rows,Function,majority_class_baseline,Mild,0.8043478260869565,0.3333333333333333,0.6469754253308129,0.8043478260869565,0.7171293871136721,0.2971887550200803
imputed_all_rows,PainFunction,majority_class_baseline,Mild,0.8043478260869565,0.25,0.6469754253308129,0.8043478260869565,0.7171293871136721,0.22289156626506024
mri_complete_cases,Total,majority_class_baseline,Mild,0.5,0.25,0.25,0.5,0.3333333333333333,0.16666666666666666
mri_complete_cases,Pain,majority_class_baseline,Mild,0.5,0.3333333333333333,0.25,0.5,0.3333333333333333,0.2222222222222222
mri_complete_cases,Function,majority_class_baseline,Mild,0.5,0.3333333333333333,0.25,0.5,0.3333333333333333,0.2222222222222222
mri_complete_cases,PainFunction,majority_class_baseline,Mild,0.5,0.3333333333333333,0.25,0.5,0.3333333333333333,0.2222222222222222
